id,name,type,source_seconds,roof_point_support,parent,inferred
B002,近景蓝色金属顶住宅,metal,44,219,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B003,蓝顶前方老灰楼,flat,44,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B004,蓝顶后侧旧混凝土楼,flat,44,627,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B005,蓝顶西侧粉灰住宅,flat,44,365,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B006,红色三层住宅,flat,44,240,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B007,红楼后方灰色三层住宅,flat,44,213,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B008,西侧白色转角阳台住宅,flat,44,66,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B009,西侧浅绿色住宅,flat,44,239,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B010,西侧白色平顶住宅,flat,44,60,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B011,画面左缘白顶住宅,flat,44,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B012,蓝色坡顶西侧白色住宅,flat,44,212,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B013,灰楼后方白色屋顶,flat,44,13,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B014,蓝色四坡顶别墅,hip,44,63,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B015,蓝色别墅东侧低翼,flat,44,34,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B016,池塘近端绿窗住宅,flat,44,61,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B017,池塘中段白色住宅,flat,44,177,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B018,池塘后段白色住宅,flat,44,35,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B019,池塘西侧白色多阳台住宅,flat,44,126,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B020,池塘西侧白色多阳台住宅后翼,flat,44,38,B019,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B021,中区米色三层住宅,flat,44,105,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B022,中区黑栏杆白色住宅,flat,44,39,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B023,西中区白色露台住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B024,西中区灰绿三层住宅,flat,44,67,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B025,后区大米黄色住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B026,后区竖带立面住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B027,后区黄色长楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B028,蓝顶前方浅灰白顶住宅,flat,44,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B029,近景大面积拼花屋顶住宅,flat,44,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B030,道路前段白色带露台住宅,flat,44,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B031,道路最近端白色阳台住宅,flat,44,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O001,老屋区瓦顶单元 001,gable,256,59,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O002,老屋区瓦顶单元 002,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O003,老屋区瓦顶单元 003,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O004,老屋区瓦顶单元 004,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O005,老屋区瓦顶单元 005,gable,256,13,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O006,老屋区瓦顶单元 006,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O007,老屋区瓦顶单元 007,gable,256,19,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O008,老屋区瓦顶单元 008,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O009,老屋区瓦顶单元 009,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O010,老屋区瓦顶单元 010,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O011,老屋区瓦顶单元 011,gable,256,10,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O012,老屋区瓦顶单元 012,gable,256,46,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O013,老屋区瓦顶单元 013,gable,256,48,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O014,老屋区瓦顶单元 014,gable,256,32,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O015,老屋区瓦顶单元 015,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O016,老屋区瓦顶单元 016,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O017,老屋区瓦顶单元 017,flat,256,11,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O018,老屋区瓦顶单元 018,gable,256,21,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O019,老屋区瓦顶单元 019,gable,256,18,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O020,老屋区瓦顶单元 020,gable,256,23,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O021,老屋区瓦顶单元 021,gable,256,103,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O022,老屋区瓦顶单元 022,gable,256,41,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O023,老屋区瓦顶单元 023,gable,256,18,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O024,老屋区瓦顶单元 024,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O025,老屋区瓦顶单元 025,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O026,老屋区瓦顶单元 026,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O027,老屋区瓦顶单元 027,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O028,老屋区瓦顶单元 028,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O029,老屋区瓦顶单元 029,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O030,老屋区瓦顶单元 030,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O031,老屋区瓦顶单元 031,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O032,老屋区瓦顶单元 032,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O033,老屋区瓦顶单元 033,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O034,老屋区瓦顶单元 034,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O035,老屋区瓦顶单元 035,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O036,老屋区瓦顶单元 036,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O037,老屋区瓦顶单元 037,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O038,老屋区瓦顶单元 038,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O039,老屋区瓦顶单元 039,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O040,老屋区瓦顶单元 040,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O041,老屋区瓦顶单元 041,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O042,老屋区瓦顶单元 042,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O043,老屋区瓦顶单元 043,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O044,老屋区瓦顶单元 044,gable,256,91,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O045,老屋区瓦顶单元 045,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O046,老屋区瓦顶单元 046,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O047,老屋区瓦顶单元 047,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O048,老屋区瓦顶单元 048,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O049,老屋区瓦顶单元 049,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O050,老屋区瓦顶单元 050,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O051,老屋区瓦顶单元 051,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O052,老屋区瓦顶单元 052,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O053,老屋区瓦顶单元 053,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O054,老屋区瓦顶单元 054,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O055,老屋区瓦顶单元 055,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O056,老屋区瓦顶单元 056,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O057,老屋区瓦顶单元 057,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O058,老屋区瓦顶单元 058,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O059,老屋区瓦顶单元 059,gable,256,23,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O060,老屋区瓦顶单元 060,metal,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O061,老屋区瓦顶单元 061,flat,256,259,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O062,老屋区瓦顶单元 062,metal,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O063,老屋区瓦顶单元 063,flat,256,89,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O064,老屋区瓦顶单元 064,gable,256,55,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O065,老屋区瓦顶单元 065,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O066,老屋区瓦顶单元 066,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O067,老屋区瓦顶单元 067,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O068,老屋区瓦顶单元 068,gable,256,12,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O069,老屋区瓦顶单元 069,gable,256,20,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O070,老屋区瓦顶单元 070,gable,256,23,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O071,老屋区瓦顶单元 071,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O072,老屋区瓦顶单元 072,gable,256,29,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O073,老屋区瓦顶单元 073,gable,256,52,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O074,老屋区瓦顶单元 074,gable,256,13,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O075,老屋区瓦顶单元 075,gable,256,40,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O076,老屋区瓦顶单元 076,gable,256,17,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O077,老屋区瓦顶单元 077,gable,256,11,O076,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O078,老屋区瓦顶单元 078,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O079,老屋区瓦顶单元 079,gable,256,63,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O080,老屋区瓦顶单元 080,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O081,老屋区瓦顶单元 081,gable,256,75,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O082,老屋区瓦顶单元 082,gable,256,135,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O083,老屋区瓦顶单元 083,gable,256,15,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O084,老屋区瓦顶单元 084,gable,256,30,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O085,老屋区瓦顶单元 085,gable,256,33,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O086,老屋区瓦顶单元 086,gable,256,52,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O087,老屋区瓦顶单元 087,gable,256,18,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
